<TICKER>;<PER>;<DATE>;<TIME>;LAST;<VOL>
GAZP;0;18.02.2021;10:00:16;228.680000000;10
GAZP;0;18.02.2021;10:00:16;228.680000000;70
GAZP;0;18.02.2021;10:00:16;228.680000000;20
GAZP;0;18.02.2021;10:00:16;228.680000000;140
GAZP;0;18.02.2021;10:00:16;228.600000000;860
GAZP;0;18.02.2021;10:00:16;228.780000000;490
GAZP;0;18.02.2021;10:00:16;228.790000000;1260
GAZP;0;18.02.2021;10:00:16;228.770000000;1520
GAZP;0;18.02.2021;10:00:16;228.790000000;3120
GAZP;0;18.02.2021;10:00:16;228.800000000;1520
GAZP;0;18.02.2021;10:00:16;228.830000000;310
GAZP;0;18.02.2021;10:00:16;228.830000000;3000
GAZP;0;18.02.2021;10:00:16;228.850000000;2040
GAZP;0;18.02.2021;10:00:16;228.870000000;1990
GAZP;0;18.02.2021;10:00:16;228.870000000;80
GAZP;0;18.02.2021;10:00:16;228.870000000;36420
GAZP;0;18.02.2021;10:00:16;228.940000000;20
GAZP;0;18.02.2021;10:00:16;228.780000000;200
GAZP;0;18.02.2021;10:00:16;228.780000000;300
GAZP;0;18.02.2021;10:00:16;228.760000000;340
GAZP;0;18.02.2021;10:00:16;228.890000000;10
GAZP;0;18.02.2021;10:00:16;228.890000000;10
GAZP;0;18.02.2021;10:00:16;228.890000000;30
GAZP;0;18.02.2021;10:00:16;228.890000000;30
GAZP;0;18.02.2021;10:00:17;228.890000000;40
GAZP;0;18.02.2021;10:00:17;228.890000000;280
GAZP;0;18.02.2021;10:00:17;228.890000000;10
GAZP;0;18.02.2021;10:00:17;228.680000000;80
GAZP;0;18.02.2021;10:00:17;228.780000000;10
GAZP;0;18.02.2021;10:00:17;228.680000000;40
GAZP;0;18.02.2021;10:00:17;228.680000000;200
GAZP;0;18.02.2021;10:00:18;228.680000000;1000
GAZP;0;18.02.2021;10:00:18;228.680000000;80
GAZP;0;18.02.2021;10:00:18;228.680000000;540
GAZP;0;18.02.2021;10:00:18;228.660000000;200
GAZP;0;18.02.2021;10:00:18;228.780000000;90
GAZP;0;18.02.2021;10:00:18;228.780000000;10
GAZP;0;18.02.2021;10:00:18;228.780000000;10
GAZP;0;18.02.2021;10:00:18;228.780000000;20
GAZP;0;18.02.2021;10:00:18;228.660000000;10
GAZP;0;18.02.2021;10:00:18;228.780000000;10
GAZP;0;18.02.2021;10:00:18;228.830000000;90
GAZP;0;18.02.2021;10:00:18;228.890000000;10
GAZP;0;18.02.2021;10:00:18;228.680000000;10
GAZP;0;18.02.2021;10:00:18;228.880000000;10
GAZP;0;18.02.2021;10:00:18;228.900000000;210
GAZP;0;18.02.2021;10:00:18;228.910000000;1780
GAZP;0;18.02.2021;10:00:18;228.900000000;10
GAZP;0;18.02.2021;10:00:18;228.710000000;50
GAZP;0;18.02.2021;10:00:18;228.900000000;10
GAZP;0;18.02.2021;10:00:18;228.890000000;10
GAZP;0;18.02.2021;10:00:18;228.710000000;60
GAZP;0;18.02.2021;10:00:18;228.890000000;20
GAZP;0;18.02.2021;10:00:18;228.890000000;20
GAZP;0;18.02.2021;10:00:18;228.900000000;130
GAZP;0;18.02.2021;10:00:19;228.870000000;30
GAZP;0;18.02.2021;10:00:19;228.700000000;10
GAZP;0;18.02.2021;10:00:19;228.690000000;990
GAZP;0;18.02.2021;10:00:19;228.870000000;20
GAZP;0;18.02.2021;10:00:19;228.870000000;50
GAZP;0;18.02.2021;10:00:19;228.870000000;60
GAZP;0;18.02.2021;10:00:19;228.690000000;20
GAZP;0;18.02.2021;10:00:19;228.690000000;80
GAZP;0;18.02.2021;10:00:19;228.870000000;10
GAZP;0;18.02.2021;10:00:20;228.690000000;300
GAZP;0;18.02.2021;10:00:20;228.690000000;10
GAZP;0;18.02.2021;10:00:20;228.870000000;170
GAZP;0;18.02.2021;10:00:20;228.890000000;230
GAZP;0;18.02.2021;10:00:20;228.690000000;1000
GAZP;0;18.02.2021;10:00:21;228.690000000;10
GAZP;0;18.02.2021;10:00:21;228.690000000;10
GAZP;0;18.02.2021;10:00:21;228.870000000;30
GAZP;0;18.02.2021;10:00:21;228.870000000;20
GAZP;0;18.02.2021;10:00:21;228.870000000;60
GAZP;0;18.02.2021;10:00:21;228.690000000;100
GAZP;0;18.02.2021;10:00:21;228.870000000;640
GAZP;0;18.02.2021;10:00:22;228.710000000;80
GAZP;0;18.02.2021;10:00:22;228.730000000;10
GAZP;0;18.02.2021;10:00:22;228.900000000;60
GAZP;0;18.02.2021;10:00:22;228.900000000;10
GAZP;0;18.02.2021;10:00:22;228.750000000;70
GAZP;0;18.02.2021;10:00:22;228.910000000;1040
GAZP;0;18.02.2021;10:00:22;228.920000000;100
GAZP;0;18.02.2021;10:00:22;228.940000000;570
GAZP;0;18.02.2021;10:00:23;228.750000000;1000
GAZP;0;18.02.2021;10:00:23;228.750000000;320
GAZP;0;18.02.2021;10:00:23;228.750000000;490
GAZP;0;18.02.2021;10:00:24;228.940000000;100
GAZP;0;18.02.2021;10:00:25;228.780000000;10
GAZP;0;18.02.2021;10:00:26;228.940000000;100
GAZP;0;18.02.2021;10:00:26;228.780000000;800
GAZP;0;18.02.2021;10:00:26;228.760000000;1200
GAZP;0;18.02.2021;10:00:27;228.870000000;10
GAZP;0;18.02.2021;10:00:27;228.910000000;50
GAZP;0;18.02.2021;10:00:27;228.780000000;50
GAZP;0;18.02.2021;10:00:27;228.760000000;10
GAZP;0;18.02.2021;10:00:27;228.770000000;10
GAZP;0;18.02.2021;10:00:28;228.910000000;540
